attention_type,positional_encoding_type,block_type,n_heads,n_kv_heads,context_len,batch_size,num_parameters,val_loss,val_ppl,train_tokens_per_sec,train_time_sec_total,train_time_sec_per_epoch,infer_tokens_per_sec,infer_ms_per_token,peak_gpu_mem_mb,nan_steps,grad_norm_mean,grad_norm_max,step_loss_std
scaled_dot_product,rope,standard_transformer_block,8,2,512,8,50951680,8.355842774914157,4254.969082885257,14715.943747184489,164.77584052085876,164.77584052085876,111.28822554884951,8.985676562531353,4866.5361328125,0,,,24.52699768999483
scaled_dot_product,alibi,standard_transformer_block,8,2,512,8,50951680,8.472824558135002,4783.006287040988,6937.95362048124,349.502480506897,349.502480506897,33.13611991878458,30.17854843750456,4864.3740234375,0,inf,inf,25.80025838787408
scaled_dot_product,relative_shaw,standard_transformer_block,8,2,512,8,50959872,8.349821936699652,4229.4275702448185,5470.092338075071,443.2890434265137,443.2890434265137,95.6931217276804,10.450071875027334,4890.6259765625,0,,,24.46773844236684
